ISSN	Journal Name	Publisher
0090-0036	American Journal of Public Health	American Public Health Association
1046-7408	American Journal of Reproductive Immunology	Wiley
1044-1549	American Journal of Respiratory Cell and Molecular Biology	American Thoracic Society
1073-449X	American Journal of Respiratory and Critical Care Medicine	American Thoracic Society
0361-803X	American Journal of Roentgenology	American Roentgen Ray Society
0002-9599	American Journal of Science	American Journal of Science
0002-9602	American Journal of Sociology	University of Chicago Press
0002-9610	American Journal of Surgery	Elsevier
0002-9637	American Journal of Tropical Medicine and Hygiene	American Society of Tropical Medicine and Hygiene
1465-7252	American Law and Economics Review	Oxford University Press
0002-9831	American Literature	Duke University Press
0002-9890	American Mathematical Monthly	Mathematical Association of America
0002-9890	American Mathematical Monthly	Mathematical Association of America (MAA)
0065-9290	American Mathematical Society Translations	American Mathematical Society
0003-004X	American Mineralogist	Mineralogical Society of America
1945-3027	American Mineralogist	NULL
0003-0147	American Naturalist	Umiversity of Chicago Press
0003-0147	American Naturalist	University of Chicago Press
0003-0554	American Political Science Review	NULL
0003-0554	American Political Science Review	American Political Science Association
0003-0554	American Political Science Review	Cambridge University Press
0044-7803	American Politics Quarterly	Sage
1532-673X	American Politics Research	SAGE Publications
0003-066X	American Psychologist	American Psychological Association
0003-0937	American Scholar	Times Books
0003-0996	American Scientist	Sigma Xi
0003-1224	American Sociological Review	American Sociological Association
0003-1305	American Statistician	Taylor & Francis
0003-1453	American University Law Review	American University, Washington College of Law
0003-1569	American Zoologist	Oxford University Press
0003-1569	American Zoologist	Society for Integrative and Comparative Biology
	Amodern	Concordia University
1075-9964	Anaerobe	Elsevier
2352-5568	Anaesthesia Critical Care & Pain Medicine	Elsevier
1642-5758	Anaesthesiology Intensive Therapy	Termedia
1678-2690	Anais da Academia Brasileira de Ciências	FapUNIFESP (SciELO)
0365-0375	Anales de la Asociación Química Argentina	Asociación Química Argentina
0925-1030	Analog Integrated Circuits and Signal Processing	Kluwer Academic Publishers
0294-1449	Analyse Nonlineaire, Annales Institute H. Poincaré	Gauthier-Villars
0171-5860	Analyse and Kritik	Lucius and Lucius Verlagsgesellschaft
0003-2638	Analysis	Oxford University Press
1948-206X	Analysis & PDE	Mathematical Sciences Publishers
2157-5045	Analysis & PDE	Mathematical Sciences Publishers
0133-3852	Analysis Mathematica	Springer Nature
0219-5305	Analysis and Applications	World Scientific Publishing
0003-2654	Analyst	Royal Society of Chemistry
0003-2670	Analytica Chimica Acta	Elsevier
0003-2697	Analytical Biochemistry	Elsevier
0003-2700	Analytical Chemistry	American Chemical Society
1759-9660	Analytical Methods	Royal Society of Chemistry
1618-2642	Analytical and Bioanalytical Chemistry	NULL
1618-2642	Analytical and Bioanalytical Chemistry	Springer
1618-2642	Analytical and Bioanalytical Chemistry	Springer-Verlag
1932-8486	Anatomical Record	Wiley
1932-8494	Anatomical Record	Wiley
0340-2061	Anatomy and Embryology	Springer-Verlag
0003-2999	Anesthesia and Analgesia	Lippincott, Williams & Wilkins
0044-8249	Angewandte Chemie	Wiley
1433-7851	Angewandte Chemie International Edition	NULL
1433-7851	Angewandte Chemie International Edition	Wiley
14337851	Angewandte Chemie International Edition	NULL
0570-0833	Angewandte Chemie International Edition in English	Wiley
0570-0833	Angewandte Chemie-International Edition In English	John Wiley and Sons
0003-3146	Angewandte Makromolekulare Chemie	Huethig und Wepf
0969-6970	Angiogenesis	Springer
0003-3219	Angle Orthodontist	E. H. Angle Education and Research Foundation
0003-3472	Animal Behaviour	Elsevier Masson
2076-2615	Animals	MDPI
0003-3804	Annalen der Physik	Wiley
1239-629X	Annales Academiae Scientiarum Fennicae. Mathematica	Academia Scientiarum Fennica
1239-629X	Annales Academiae Scientiarum Fennicae. Mathematica	Suomalainen Tiedeakatemia
0246-0203	Annales De l'Institut Henri Poincaré - Probabilitiés et Statistiques	Association des Publications de l’Institut Henri Poincaré
0246-0203	Annales De l'Institut Henri Poincaré - Probabilitiés et Statistiques	Gauthier-Villars
0992-7689	Annales Geophysicae	European Geosciences Union
1432-0576	Annales Geophysicae	European Geosciences Union
1424-0637	Annales Henri Poincaré	Springer
0012-9593	Annales Scientifiques de L'Ecole Normale Superieure	Société Mathématique de France
0012-9593	Annales Scientifiques de l'École Normale Supérieure	Société Mathématique de France
0012-9593	Annales Scientifiques-Ecole Normale Superieure Paris	Elsevier
0012-9593	Annales Scientifiques-École Normale Supérieure Paris	Elsevier
2115-4430	Annales d'Économie et de Statistique	GENES
1777-5310	Annales de l'Institut Fourier	Association des Annales de l'Institut Fourier
0294-1449	Annales de l'Institut Henri Poincare (C) Non Linear Analysis	Elsevier
0020-2339	Annales de l'Institut Henri Poincaré. Section A, Physique théorique	Gauthiers-Villars
0246-0203	Annales de l'Institut Henri Poincaré, Probabilités et Statistiques	Institut Henri Poincaré
